name,max_context_tokens(K),input_pricing_per_1Mtokens,output_pricing_per_1Mtokens,unit,USD_to_Yuan_exchange_rate,input_pricing_per_1Mtokens_Yuan,output_pricing_per_1Mtokens_Yuan,reference,last_update_date
GPT-3.5-Turbo-1106,16,1,2,USD,7.27,7.27,14.54,https://azure.microsoft.com/en-us/pricing/details/cognitive-services/openai-service/,2024/7/4
GPT-4o,128,5,15,USD,7.27,36.35,109.05,https://azure.microsoft.com/en-us/pricing/details/cognitive-services/openai-service/,2024/7/4
GPT-4o-mini,128,0.15,0.6,USD,7.27,1.0905,4.362,https://azure.microsoft.com/en-us/pricing/details/cognitive-services/openai-service/,2024/9/1
yi-large,32,20,20,Yuan,7.27,20,20,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B,2024/7/4
yi-medium,16,2.5,2.5,Yuan,7.27,2.5,2.5,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B,2024/7/4
glm-4-air,128,1,1,Yuan,7.27,1,1,https://open.bigmodel.cn/pricing,2024/7/4
moonshot-v1-8k,8,12,12,Yuan,7.27,12,12,https://platform.moonshot.cn/docs/price/chat#%E8%AE%A1%E8%B4%B9%E5%8D%95%E5%85%83,2024/7/4
claude-3-5-sonnet-20240620,200,3,15,USD,7.27,21.81,109.05,https://www.anthropic.com/pricing#anthropic-api,2024/7/4
qwen-long,10000,0.5,2,Yuan,7.27,0.5,2,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-thousand-questions-metering-and-billing?spm=a2c4g.11186623.0.0.1f6846c1EE0J33,2024/7/4
qwen-turbo,6,2,6,Yuan,7.27,2,6,https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-thousand-questions-metering-and-billing?spm=a2c4g.11186623.0.0.1f6846c1EE0J33,2024/7/4
llama-3-70b-instruct,8,0.55,0.76,Yuan,7.27,3.9985,5.5252,https://openrouter.ai/docs/models,2024/7/7
llama-3-8b-instruct,8,0.063,0.063,USD,7.27,0.45801,0.45801,https://openrouter.ai/docs/models,2024/7/7
llama-3.1-70b-instruct,128,0.52,0.75,USD,7.27,3.7804,5.4525,https://openrouter.ai/docs/models,2024/7/25
llama-3.1-8b-instruct,128,0.055,0.055,USD,7.27,0.39985,0.39985,https://openrouter.ai/docs/models,2024/7/25
gemma-2-9b-it,8,0.2,0.2,USD,7.27,1.454,1.454,https://openrouter.ai/docs/models,2024/7/7
gpt-o1,128,15,60,USD,7.27,109.05,436.2,https://openrouter.ai/docs/models,2024/9/14
openrouter_gpt35,16,0.5,1.5,USD,7.27,3.635,10.905,https://openrouter.ai/openai/gpt-3.5-turbo-0125,2025/4/14
